2020-04-04 10:51:11.742 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - No active profile set, falling back to default profiles: default
2020-04-04 10:51:12.312 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-04 10:51:12.314 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-04 10:51:12.334 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 Redis repository interfaces.
2020-04-04 10:51:12.752 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-04-04 10:51:12.760 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-04-04 10:51:12.761 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-04 10:51:12.761 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-04 10:51:12.828 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-04 10:51:12.828 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1029 ms
2020-04-04 10:51:13.614 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-04-04 10:51:13.859 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-04-04 10:51:13.860 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-04-04 10:51:16.698 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-04 10:51:17.418 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2020-04-04 10:51:17.425 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
